participant_id,Cultural_Fam,Musicianship,age,nationality,ethnicity,rhythm_name,original_identifier,aligned_beat,trial_errors,trial_durations_sec,trial_adjustments,random_start_beats,initial_beat_offsets,corrected_aligned_beats,is_correct,trial_number_overall,repetition
RHYTHM_1757355096351_5h06a,Indian,Non-Musician,33,ireland,indian,Keherva,1,5,4,8.9,2,7,6,5,FALSE,5,1
RHYTHM_1757355096351_5h06a,Indian,Non-Musician,33,ireland,indian,Jhaptal,2,6,5,2.7,3,10,8,6,FALSE,6,2
RHYTHM_1757355096351_5h06a,Indian,Non-Musician,33,ireland,indian,Teental,2,2,15,3.2,3,2,2,2,FALSE,7,2
RHYTHM_1757355096351_5h06a,Indian,Non-Musician,33,ireland,indian,Keherva,2,5,4,2.7,3,8,7,5,FALSE,8,2
RHYTHM_1757359530387_ysjkj,Indian,Non-Musician,28,india,indian,Rupak,1,1,0,141.9,18,5,3,1,TRUE,1,1
RHYTHM_1757359530387_ysjkj,Indian,Non-Musician,28,india,indian,Teental,1,13,4,102,21,13,15,13,FALSE,2,1
RHYTHM_1757359530387_ysjkj,Indian,Non-Musician,28,india,indian,Teental,2,14,3,31.7,2,5,1,14,FALSE,3,2
RHYTHM_1757359530387_ysjkj,Indian,Non-Musician,28,india,indian,Jhaptal,1,8,3,108.4,18,4,7,8,FALSE,4,1
RHYTHM_1757359530387_ysjkj,Indian,Non-Musician,28,india,indian,Rupak,2,1,0,44.8,6,6,3,1,TRUE,5,2
RHYTHM_1757359530387_ysjkj,Indian,Non-Musician,28,india,indian,Keherva,1,6,3,95.7,11,2,2,6,FALSE,6,1
RHYTHM_1757359530387_ysjkj,Indian,Non-Musician,28,india,indian,Jhaptal,2,8,3,67.4,12,4,1,8,FALSE,7,2
RHYTHM_1757359530387_ysjkj,Indian,Non-Musician,28,india,indian,Keherva,2,6,3,55.9,7,4,4,6,FALSE,8,2
RHYTHM_1757446162536_3guu8,Indian,NICM_Musician,30,india,indian,Rupak,1,4,4,48.9,6,1,1,4,FALSE,1,1
RHYTHM_1757446162536_3guu8,Indian,NICM_Musician,30,india,indian,Teental,1,1,0,36.3,6,2,14,1,TRUE,2,1
RHYTHM_1757446162536_3guu8,Indian,NICM_Musician,30,india,indian,Teental,2,1,0,105.4,13,5,11,1,TRUE,3,2
RHYTHM_1757446162536_3guu8,Indian,NICM_Musician,30,india,indian,Jhaptal,1,1,0,19.1,1,1,9,1,TRUE,4,1
